 pork, sandwich bags, lunch meat, all- purpose, flour, soda, butter, vegetables, beef, aluminum foil, all- purpose, dinner rolls, shampoo, all- purpose
 shampoo, hand soap, waffles, vegetables, cheeses, mixes, milk, sandwich bags, laundry detergent, dishwashing liquid/detergent, waffles, individual meals, hand soap, vegetables
 pork, soap, ice cream, toilet paper, dinner rolls, hand soap, spaghetti sauce, milk, ketchup, sandwich loaves, poultry, toilet paper, ice cream, ketchup
 juice, lunch meat, soda, toilet paper, all- purpose, ,,,,,,,,
 pasta, tortillas, mixes, hand soap, toilet paper, vegetables, vegetables, paper towels, vegetables, flour, vegetables, pork, poultry, eggs
 toilet paper, eggs, toilet paper, vegetables, bagels, dishwashing liquid/detergent, cereals, paper towels, laundry detergent, butter, cereals, bagels, paper towels, shampoo
 paper towels, tortillas, vegetables, milk, ice cream, juice, dishwashing liquid/detergent, soap, sandwich bags, pasta, ketchup, all- purpose, yogurt, mixes
 juice, paper towels, waffles, soda, cheeses, poultry, toilet paper, vegetables, ,,,,,
 poultry, coffee/tea, coffee/tea, dishwashing liquid/detergent, ,,,,,,,,,
 coffee/tea, toilet paper, pork, flour, milk, soda, dishwashing liquid/detergent, eggs, tortillas, tortillas, vegetables, fruits, sugar, soap
 ice cream, soda, bagels, dishwashing liquid/detergent, eggs, sugar, waffles, individual meals, toilet paper, pasta, sandwich loaves, cheeses, vegetables, hand soap
 tortillas, pork, shampoo, lunch meat, pasta, juice, bagels, vegetables, bagels, vegetables, laundry detergent, yogurt, sugar, waffles
 fruits, all- purpose, aluminum foil, laundry detergent, individual meals, flour, pork, shampoo, sugar, aluminum foil, shampoo, soap, bagels, toilet paper
 dinner rolls, individual meals, shampoo, ketchup, cereals, sandwich bags, laundry detergent, vegetables, sandwich loaves, cheeses, vegetables, ,,
 ice cream, cereals, paper towels, bagels, mixes, lunch meat, juice, toilet paper, cheeses, paper towels, paper towels, juice, aluminum foil, fruits
 sandwich bags, flour, juice, milk, paper towels, cereals, sandwich bags, pasta, soda, dishwashing liquid/detergent, ice cream, soap, cheeses, beef
 hand soap, pasta, individual meals, spaghetti sauce, cereals, sandwich loaves, hand soap, individual meals, ,,,,,
